feature,importance
Rolling_Avg_Units_Sold_7d,0.2902960099828823
Holiday/Promotion_0,0.07028164035791834
Category_Clothing,0.06997579927914321
Holiday/Promotion_1,0.0657985428081225
Rolling_Avg_Inventory_7d,0.06450255933553267
Seasonality_Winter,0.06349392686914289
Competitor Pricing,0.057146605175679065
Price,0.05566821546218926
Weather Condition_Rainy,0.04983746009806412
Category_Electronics,0.026442215450716133
Day_Of_Week,0.020168619711291816
Category_Groceries,0.01902245770048625
Month,0.01766224607346163
Discount,0.017063358807657112
Seasonality_Summer,0.013047576705265997
Region_East,0.005198332727116912
Store ID_S002,0.004997876906774633
Region_North,0.004783427222285957
Store ID_S001,0.004606181178892938
Region_South,0.004561376646157836
Weather Condition_Snowy,0.00446639190874633
Store ID_S005,0.004415109417930492
Weather Condition_Cloudy,0.004240506623577615
Region_West,0.004102120463864702
Store ID_S004,0.004078417154329889
Store ID_S003,0.004028166894054117
Weather Condition_Sunny,0.0038783643016266148
Product ID_P0187,0.0024307019783576587
Is_Weekend,0.002312585919243287
Product ID_P0125,0.002300049259316384
Product ID_P0046,0.0022004878949404565
Product ID_P0057,0.00216557792876322
Product ID_P0069,0.0021060592699409914
Product ID_P0016,0.0020929581612186185
Product ID_P0061,0.0020268917405337856
Product ID_P0133,0.001960759640181721
Product ID_P0178,0.0018109755821507255
Product ID_P0066,0.0018078601893176762
Product ID_P0126,0.001740873752953186
Product ID_P0166,0.001325425041211152
Seasonality_Autumn,0.0011586384000102925
Product ID_P0159,0.0011189574162681444
Seasonality_Spring,0.0011046392156329225
Product ID_P0094,0.0011037590625697954
Product ID_P0175,0.00108464685377996
Product ID_P0031,0.001008653595916206
Product ID_P0129,0.0009660518077902688
Product ID_P0153,0.0009629725256004886
Product ID_P0149,0.0009613377628442875
Product ID_P0083,0.0009600623959758469
Product ID_P0183,0.0009339091207645823
Product ID_P0017,0.0009016695685920485
Product ID_P0068,0.0008534772146438304
Product ID_P0116,0.0008320644466862346
Product ID_P0070,0.0008138266560679191
Category_Furniture,0.0008086662857277648
Product ID_P0171,0.0008077207826415743
Product ID_P0085,0.0007813119800249312
Product ID_P0079,0.0007607046985808936
Product ID_P0067,0.0007215390070962276
Product ID_P0096,0.0007130764094304821
Category_Toys,0.0005976031723151547
